"pitcher1","pitcher2","similarity"
"Ty Blach","Rich Hill",2.3630316623386
"Alex Wood","Rich Hill",2.25106692066375
"Hector Santiago","Rich Hill",2.24051310901742
"CC Sabathia","Jaime Garcia",0.833248733449812
"Cole Hamels","Jaime Garcia",0.665672509629518
"Francisco Liriano","Jaime Garcia",0.874686812514626
"Rich Hill","Jaime Garcia",2.18547190957096
"Jaime Garcia","Jaime Garcia",0
"Jon Lester","Jaime Garcia",0.925523857820081
"Clayton Richard","Jaime Garcia",1.06739933732019
"David Price","Jaime Garcia",1.02743884765056
"J. A. Happ","Jaime Garcia",0.823014480268025
"Gio Gonzalez","Jaime Garcia",0.901670431662508
"Travis Wood","Jaime Garcia",1.28078676287063
"Clayton Kershaw","Jaime Garcia",1.66101025218602
"Wade Miley","Jaime Garcia",1.05485518312038
"Jose Quintana","Jaime Garcia",1.13655644305216
"Derek Holland","Jaime Garcia",1.11545748967221
"Madison Bumgarner","Jaime Garcia",0.974918348264021
"Danny Duffy","Jaime Garcia",1.00424768140405
"Matt Moore","Jaime Garcia",0.890782040932705
"Drew Pomeranz","Jaime Garcia",1.82393373800785
"Chris Sale","Jaime Garcia",1.17098936056446
"Martin Perez","Jaime Garcia",0.758570462869879
"Adam Conley","Jaime Garcia",1.14427664767788
"Mike Montgomery","Jaime Garcia",0.925095584806131
"Hyun-Jin Ryu","Jaime Garcia",1.05154732372056
"Matt Boyd","Jaime Garcia",0.855183289214693
"Patrick Corbin","Jaime Garcia",1.0468257936535
"Steven Matz","Jaime Garcia",0.795734587053932
"James Paxton","Jaime Garcia",1.41791278677525
"Dallas Keuchel","Jaime Garcia",0.801885593629718
"Robbie Ray","Jaime Garcia",1.38288963784934
"Eduardo Rodriguez","Jaime Garcia",1.03671577493395
"Daniel Norris","Jaime Garcia",1.05104036334415
"Blake Snell","Jaime Garcia",1.20368341876407
"Adalberto Mejia","Jaime Garcia",1.0269175894301
"Carlos Rodon","Jaime Garcia",0.881692097162156
"Kyle Freeland","Jaime Garcia",0.885528531329303
"Sean Manaea","Jaime Garcia",1.02305868298601
"Jordan Montgomery","Jaime Garcia",1.20922566373654
"Sean Newcomb","Jaime Garcia",1.27015591697034
"Ariel Miranda","Jaime Garcia",1.45856627055207
"Jason Vargas","Jaime Garcia",1.30004858967856
"Ty Blach","Jaime Garcia",1.14930426398922
"Alex Wood","Jaime Garcia",1.00637172245357
"Hector Santiago","Jaime Garcia",1.26942207492901
"CC Sabathia","Jon Lester",0.981825698372778
"Cole Hamels","Jon Lester",0.796706492955333
"Francisco Liriano","Jon Lester",0.979184399713767
"Rich Hill","Jon Lester",1.77323761262949
"Jaime Garcia","Jon Lester",0.925523857820081
"Jon Lester","Jon Lester",0
"Clayton Richard","Jon Lester",1.47910473172808
"David Price","Jon Lester",0.999090995361902
"J. A. Happ","Jon Lester",0.972515252555283
"Gio Gonzalez","Jon Lester",1.22901437348229
"Travis Wood","Jon Lester",0.952462157119645
"Clayton Kershaw","Jon Lester",1.3042518685046
"Wade Miley","Jon Lester",0.798940077684636
"Jose Quintana","Jon Lester",0.913319604705791
"Derek Holland","Jon Lester",0.807398501454941
"Madison Bumgarner","Jon Lester",0.442931980519021
