"pitcher1","pitcher2","similarity"
"Ricky Nolasco","Bronson Arroyo",1.7967665449888
"Jesse Chavez","Bronson Arroyo",2.06090975833679
"Corey Kluber","Bronson Arroyo",2.05571823434249
"James Shields","Bronson Arroyo",1.60026335788936
"Carlos Torres","Bronson Arroyo",2.68735416941284
"Edinson Volquez","Bronson Arroyo",2.29934567771882
"Charlie Morton","Bronson Arroyo",2.58083371687048
"Yovani Gallardo","Bronson Arroyo",2.21049515931825
"Ian Kennedy","Bronson Arroyo",2.29537325840444
"Max Scherzer","Bronson Arroyo",2.18641945904762
"Miguel Gonzalez","Bronson Arroyo",1.87911152246092
"Johnny Cueto","Bronson Arroyo",1.93426596454431
"Lance Lynn","Bronson Arroyo",2.39905687612066
"Josh Tomlin","Bronson Arroyo",1.64456942562944
"Marco Estrada","Bronson Arroyo",2.36703214703696
"Ivan Nova","Bronson Arroyo",2.45523204646728
"Jhoulys Chacin","Bronson Arroyo",1.6743317299938
"Carlos Carrasco","Bronson Arroyo",2.3325837830599
"Jeremy Hellickson","Bronson Arroyo",1.999137583863
"Andrew Cashner","Bronson Arroyo",2.43155389032379
"Craig Stammen","Bronson Arroyo",2.26389711343789
"Matt Garza","Bronson Arroyo",2.06502930431411
"J. C. Ramirez","Bronson Arroyo",2.46999566695116
"Michael Pineda","Bronson Arroyo",2.34731996171904
"Chris Tillman","Bronson Arroyo",1.96835555600964
"Chris Archer","Bronson Arroyo",2.66373714875702
"Kyle Gibson","Bronson Arroyo",1.99911867207242
"Alex Cobb","Bronson Arroyo",2.28050983018419
"Jeff Samardzija","Bronson Arroyo",2.38323590654403
"Chase Anderson","Bronson Arroyo",2.29615780546879
"Brad Peacock","Bronson Arroyo",1.81732101336181
"Wily Peralta","Bronson Arroyo",2.59975884595275
"Yu Darvish","Bronson Arroyo",2.34690262495332
"Danny Salazar","Bronson Arroyo",2.64659719171056
"Matt Harvey","Bronson Arroyo",2.47170576782599
"Jimmy Nelson","Bronson Arroyo",2.47557976640236
"Rick Porcello","Bronson Arroyo",1.92274056418883
"Jordan Zimmermann","Bronson Arroyo",2.1850784792249
"Julio Teheran","Bronson Arroyo",1.88998672853629
"Matt Shoemaker","Bronson Arroyo",2.08392660885096
"Tim Adleman","Bronson Arroyo",1.97445321081239
"Erasmo Ramirez","Bronson Arroyo",2.12903219483955
"Tyler Chatwood","Bronson Arroyo",2.61881500206004
"Gerrit Cole","Bronson Arroyo",2.69088340946282
"Sonny Gray","Bronson Arroyo",2.30870832666221
"Kyle Hendricks","Bronson Arroyo",1.68392969061858
"Tom Koehler","Bronson Arroyo",2.22840038370804
"Alex Meyer","Bronson Arroyo",2.67919137147591
"Jake Odorizzi","Bronson Arroyo",2.05308863594003
"Tanner Roark","Bronson Arroyo",2.13427667871345
"Stephen Strasburg","Bronson Arroyo",2.54833294645095
"Trevor Bauer","Bronson Arroyo",2.42037999862856
"Michael Lorenzen","Bronson Arroyo",2.74098608522605
"Masahiro Tanaka","Bronson Arroyo",1.95441705381667
"Zach Wheeler","Bronson Arroyo",2.59731970279483
"Jose Urena","Bronson Arroyo",2.61245403365717
"Mike Fiers","Bronson Arroyo",1.8677704736269
"Mychal Givens","Bronson Arroyo",2.83606321563061
"Ryan Tepera","Bronson Arroyo",2.66113927074118
"Dan Straily","Bronson Arroyo",1.89057362453006
"Marcus Stroman","Bronson Arroyo",2.52720864666963
"Parker Bridwell","Bronson Arroyo",2.13333031127748
"Mike Foltynewicz","Bronson Arroyo",2.50633024579868
"Kevin Gausman","Bronson Arroyo",2.65598781179956
"Jon Gray","Bronson Arroyo",2.67670811675384
"Jameson Taillon","Bronson Arroyo",2.61263654882831
"Vince Velasquez","Bronson Arroyo",2.57585980759534
"Taijuan Walker","Bronson Arroyo",2.38863933018442
"Trevor Williams","Bronson Arroyo",2.3417323514966
"Carlos Martinez","Bronson Arroyo",2.53076594642967
"Jacob deGrom","Bronson Arroyo",2.53579254709025
"Jerad Eickhoff","Bronson Arroyo",1.77241551741671
"Nick Pivetta","Bronson Arroyo",2.53508478492094
"Dylan Bundy","Bronson Arroyo",2.05219297140185
"Mike Clevinger","Bronson Arroyo",1.91429586841722
